origin_place_id,origin_place_name,destination_place_id,destination_place_name,media_hora
2152,"Afonso Claudio, ES",4236,"Victor Hugo, ES",9999.0000
2152,"Afonso Claudio, ES",4265,"Vitoria, ES",9999.0000
2153,"Agua Boa, ES",2380,"Boa Esperanca, ES",9999.0000
2153,"Agua Boa, ES",2733,"Div. ES/MG, ES",9999.0000
2153,"Agua Boa, ES",2976,"Fz. C. Telal, ES",9999.0000
2153,"Agua Boa, ES",3436,"Montanha, ES",9999.0000
2153,"Agua Boa, ES",3470,"N. Sra Ajuda, ES",9999.0000
2153,"Agua Boa, ES",3471,"Nanuque, MG",0.0000
2153,"Agua Boa, ES",3505,"Nova Venecia, ES",9999.0000
2153,"Agua Boa, ES",3540,"P. da Lagoa, ES",9999.0000
2153,"Agua Boa, ES",3652,"Pinheiros, ES",9999.0000
2153,"Agua Boa, ES",3833,"Rio Novo do Sul, ES",9999.0000
2153,"Agua Boa, ES",4255,"Vinhatico, ES",9999.0000
2154,"Agua Branca, PB",2476,"Cafe D Vento, PB",9999.0000
2154,"Agua Branca, PB",2483,"Caja, PB",9999.0000
2154,"Agua Branca, PB",2504,"Campina Grande, PB",9999.0000
2154,"Agua Branca, PB",3092,"Imaculada, PB",9999.0000
2154,"Agua Branca, PB",3237,"Joao Pessoa, PB",9999.0000
2154,"Agua Branca, PB",3246,"Juazeirinho, PB",9999.0000
2154,"Agua Branca, PB",3252,"Junco Serido, PB",9999.0000
2154,"Agua Branca, PB",3255,"Juru, PB",9999.0000
2154,"Agua Branca, PB",3345,"Manaira, PB",9999.0000
2154,"Agua Branca, PB",3400,"Matureia, PB",9999.0000
2154,"Agua Branca, PB",3593,"Patos, PB",9999.0000
2154,"Agua Branca, PB",3762,"Prin Isabel, PB",9999.0000
2154,"Agua Branca, PB",3805,"Riachao, PB",9999.0000
2154,"Agua Branca, PB",3898,"Santa Luzia, PB",9999.0000
2154,"Agua Branca, PB",3921,"Santo Aleixo, PB",9999.0000
2154,"Agua Branca, PB",3968,"Sao J Bomfim, PB",9999.0000
2154,"Agua Branca, PB",3997,"Sao J Patos, PB",9999.0000
2154,"Agua Branca, PB",4006,"Sao Mamede, PB",9999.0000
2154,"Agua Branca, PB",4066,"Soledade, PB",9999.0000
2154,"Agua Branca, PB",4113,"Tavares, PB",9999.0000
2154,"Agua Branca, PB",4116,"Teixeira, PB",9999.0000
2155,"Agua Branca, PI",2207,"Amarante, PI",1.0000
2155,"Agua Branca, PI",2259,"Araripe, CE",9999.0000
2155,"Agua Branca, PI",2359,"Barro Duro, PI",9999.0000
2155,"Agua Branca, PI",2519,"Campo Sales, CE",9999.0000
2155,"Agua Branca, PI",2692,"Crato, CE",9999.0000
2155,"Agua Branca, PI",2720,"Demerv Lobao, PI",1.0000
2155,"Agua Branca, PI",2834,"Eles. Veloso, PI",9999.0000
2155,"Agua Branca, PI",2952,"Floriano, PI",1.5000
2155,"Agua Branca, PI",2971,"Fronteiras, PI",9999.0000
2155,"Agua Branca, PI",2999,"Gaturiano, PI",9999.0000
2155,"Agua Branca, PI",3108,"Inhuma, MA",9999.0000
2155,"Agua Branca, PI",3114,"Ipi Do Piaui, PI",9999.0000
2155,"Agua Branca, PI",3237,"Joao Pessoa, PB",9999.0000
2155,"Agua Branca, PI",3245,"Jua Norte, CE",9999.0000
2155,"Agua Branca, PI",3272,"Km 87, PI",9999.0000
2155,"Agua Branca, PI",3435,"Monsenhor Gil, PI",0.0000
2155,"Agua Branca, PI",3480,"Nazare, PB",9999.0000
2155,"Agua Branca, PI",3502,"Nova Olinda, CE",9999.0000
2155,"Agua Branca, PI",3511,"Oeiras, PI",9999.0000
2155,"Agua Branca, PI",3641,"Picos, PI",9999.0000
2155,"Agua Branca, PI",3739,"Potengi, CE",9999.0000
2155,"Agua Branca, PI",3765,"Pst Nv Horiz, PI",9999.0000
2155,"Agua Branca, PI",4122,"Teresina, PI",1.0000
2155,"Agua Branca, PI",4210,"Valenca, PI",9999.0000
2156,"Agua Clara, MS",2290,"Assuncao, PY",9999.0000
2156,"Agua Clara, MS",2677,"Coronel Oviedo, PY",9999.0000
2156,"Agua Clara, MS",3619,"Pedro Juan Caballero, PY",9999.0000
2157,"Agua Comprida, MG",2316,"Bairro Carneiro, MG",0.0000
2157,"Agua Comprida, MG",2568,"Careacu, MG",0.0000
2157,"Agua Comprida, MG",2579,"Carvalhopolis, MG",1.0000
2157,"Agua Comprida, MG",2671,"Cordislandia, MG",0.0000
2157,"Agua Comprida, MG",2747,"Douradinho, MG",0.0000
2157,"Agua Comprida, MG",2974,"Furnas, MG",1.0000
2157,"Agua Comprida, MG",3336,"Machado, MG",1.0000
2157,"Agua Comprida, MG",3588,"Passa Quatro, MG",9999.0000
2157,"Agua Comprida, MG",3725,"Posto Alianca, MG",0.3333
